variant,regime,prob_bucket,n_signals,n_taken,trigger_pct,mean_ret_pct,median_ret_pct,win_pct,mean_net_pct,mean_mae_pct,mean_mfe_pct,mean_slippage_from_signal_pct,port_avg_basket_ret_pct,port_ann_sharpe,port_max_dd_pct,port_days
ABOVE_PREVCLOSE_OPEN,bear_trend,"[0.75,0.85)",762,541,70.99737532808399,3.1287907567051443,1.2209531311540012,60.258780036968574,2.778790756705144,-4.053788568230907,7.943407192421003,1.2493929348351422,2.321735211993441,2.202172321986685,-47.39704056395648,294
ABOVE_PREVCLOSE_OPEN,bear_trend,"[0.85,1.01)",134,89,66.41791044776119,5.031639550030949,4.313725490196085,67.41573033707866,4.681639550030949,-4.440386269049364,11.231587723923775,2.054964306308627,4.009508043582516,2.5642223093837853,-42.4270653501738,67
ABOVE_PREVCLOSE_OPEN,bull_trend,"[0.75,0.85)",3618,3007,83.11221669430624,4.994315279114171,0.114255580945688,72.92983039574327,4.6443152791141715,-2.976381407770626,8.38241068106255,1.965973987123707,4.252935285293644,1.1157778243528944,-53.29850443153275,964
ABOVE_PREVCLOSE_OPEN,bull_trend,"[0.85,1.01)",17,17,100.0,12.73048915366423,9.259259259259256,94.11764705882352,12.38048915366423,-2.4802799431751517,14.34557193052483,4.086437835256437,12.380489153664227,10.259758038433093,-4.965384615384593,17
ABOVE_VWAP_CLOSE_NAIVE,bear_trend,"[0.75,0.85)",762,225,29.52755905511811,2.835269291979816,1.5121255349500817,62.66666666666667,2.485269291979816,-3.3061783226588393,7.750777552497279,0.634221946808358,2.0845244774919394,2.0920809813053807,-37.56930523131923,142
ABOVE_VWAP_CLOSE_NAIVE,bear_trend,"[0.85,1.01)",134,34,25.37313432835821,4.733964747000349,4.340394872839481,73.52941176470588,4.383964747000349,-4.08564880573801,10.064690549743663,1.4428329513410674,4.6288908499788075,3.3947956485556534,-18.187411721828227,26
ABOVE_VWAP_CLOSE_NAIVE,bull_trend,"[0.75,0.85)",3618,1405,38.833609729132114,4.7069601867036,0.09960726279241161,74.51957295373666,4.3569601867036,-2.2586026388247915,7.356435696656121,1.0411003780999248,6.921200364171169,0.6286889481406983,-56.77381197214222,721
ABOVE_VWAP_CLOSE_NAIVE,bull_trend,"[0.85,1.01)",17,0,0.0,,,,,,,,,,,0
CONFLUENCE_2of4,bear_trend,"[0.75,0.85)",762,23,3.0183727034120733,5.806192060647562,6.746370623398801,69.56521739130434,5.456192060647562,-4.176547808031002,10.44248180382819,2.858361115773636,5.566783276508841,3.4384391319893344,-18.954651162790704,22
CONFLUENCE_2of4,bear_trend,"[0.85,1.01)",134,8,5.970149253731344,0.43848924748763096,2.496902900593784,50.0,0.08848924748763098,-7.1744982541384426,8.059351418166006,0.7624409607494734,0.08848924748763087,0.05202272870520587,-19.753507641493695,8
CONFLUENCE_2of4,bull_trend,"[0.75,0.85)",3618,1070,29.574350469872858,11.157328942773288,5.67296002288492,72.05607476635514,10.807328942773289,-4.171723282601096,15.689136941154727,4.209877554323504,14.42517589746839,1.0082157623296073,-85.69972380051524,546
CONFLUENCE_2of4,bull_trend,"[0.85,1.01)",17,17,100.0,12.731005556865693,9.259259259259256,94.11764705882352,12.381005556865693,-2.4797640378207695,14.346088333726296,4.0859217941176365,12.381005556865691,10.261156280623094,-4.965384615384593,17
CONFLUENCE_3of4,bear_trend,"[0.75,0.85)",762,5,0.6561679790026247,4.3927699624356675,3.2994923857868175,60.0,4.042769962435668,-5.160180817610063,9.53314561633673,2.6375676892449684,4.042769962435668,2.2415722985091455,-10.506250000000005,5
CONFLUENCE_3of4,bear_trend,"[0.85,1.01)",134,1,0.746268656716418,7.058823529411762,7.058823529411762,100.0,6.708823529411762,-0.42016806722690037,7.058823529411762,1.6225448334756587,6.708823529411762,,0.0,1
CONFLUENCE_3of4,bull_trend,"[0.75,0.85)",3618,710,19.624101713653953,14.616030006863786,8.636928757111106,72.25352112676056,14.266030006863787,-4.300900368889075,19.565547029492468,3.4868769778897906,18.87881551714836,1.1521924872434532,-70.85395755617402,410
CONFLUENCE_3of4,bull_trend,"[0.85,1.01)",17,15,88.23529411764706,13.705664006134812,9.259259259259256,100.0,13.355664006134813,-1.6196599692518299,15.588242391835411,3.6675049122597847,13.355664006134813,13.429934159183883,0.0,15
DIST20H_BREAK,bear_trend,"[0.75,0.85)",762,17,2.2309711286089238,6.245239773734831,6.984969053934553,82.35294117647058,5.895239773734831,-4.004373224218794,10.14776165111224,3.543892054009034,5.89523977373483,3.2860327424716886,-25.48368983957221,17
DIST20H_BREAK,bear_trend,"[0.85,1.01)",134,2,1.492537313432836,7.187072697745867,7.187072697745867,100.0,6.837072697745867,-0.590717299578053,7.187072697745867,1.4819529734574233,6.837072697745867,106.10323816120209,0.0,2
DIST20H_BREAK,bull_trend,"[0.75,0.85)",3618,1458,40.298507462686565,8.479713735420333,1.5873140389087714,77.64060356652949,8.129713735420333,-3.3331388860385167,12.154075890991017,3.240411530647389,10.810974060607855,0.8657765814219776,-63.03347291042491,719
DIST20H_BREAK,bull_trend,"[0.85,1.01)",17,17,100.0,12.731005556865693,9.259259259259256,94.11764705882352,12.381005556865693,-2.4797640378207695,14.346088333726296,4.0859217941176365,12.381005556865691,10.261156280623094,-4.965384615384593,17
DIST52WH_BREAK,bear_trend,"[0.75,0.85)",762,0,0.0,,,,,,,,,,,0
DIST52WH_BREAK,bear_trend,"[0.85,1.01)",134,0,0.0,,,,,,,,,,,0
DIST52WH_BREAK,bull_trend,"[0.75,0.85)",3618,871,24.074074074074073,12.57828636052249,7.057057057057059,72.10103329506315,12.22828636052249,-4.226159296524289,17.023516219167107,4.646090739367008,16.510241422199076,1.0765378554010312,-80.91279602525134,474
DIST52WH_BREAK,bull_trend,"[0.85,1.01)",17,16,94.11764705882354,12.248284313260708,9.015594541910332,93.75,11.898284313260708,-2.0665674720027494,13.9643097636751,4.043672858630941,11.898284313260707,9.816617996585991,-4.965384615384605,16
DVOL_SURGE_30m,bear_trend,"[0.75,0.85)",762,201,26.37795275590551,3.3639638694093676,2.4653312788905923,63.18407960199005,3.0139638694093676,-4.46455969700654,8.678253748670134,2.2178314656237377,2.8618658113415254,2.7071136490617187,-30.1570101829874,134
DVOL_SURGE_30m,bear_trend,"[0.85,1.01)",134,51,38.059701492537314,3.605988298113378,2.725274725274729,62.745098039215684,3.255988298113378,-4.689761672740654,10.458546984516994,2.54403228919663,3.075248596984811,2.2718691386327805,-23.922346410696814,43
DVOL_SURGE_30m,bull_trend,"[0.75,0.85)",3618,684,18.90547263681592,10.542383079032282,3.1238910574875933,72.22222222222221,10.192383079032282,-4.4167166269984355,15.582157517999134,2.399758269122649,12.400013383013018,0.8804342155121888,-74.61721279686996,446
DVOL_SURGE_30m,bull_trend,"[0.85,1.01)",17,3,17.647058823529413,11.57736548756471,8.771929824561408,100.0,11.227365487564711,-3.1775781404089507,16.156610209539135,1.8879474481890979,11.22736548756471,9.648863063009639,0.0,3
GREEN_15m_t1,bear_trend,"[0.75,0.85)",762,383,50.26246719160105,3.139184170535318,1.6435826408125465,64.75195822454309,2.789184170535318,-3.8310111482284785,8.407157307573035,1.9436026026065913,2.66740990556414,2.6478760370039645,-48.39390154515251,199
GREEN_15m_t1,bear_trend,"[0.85,1.01)",134,68,50.74626865671642,6.1131225790130035,4.712997371071015,77.94117647058823,5.763122579013004,-2.754532722421299,12.75723909524526,2.4622458469063995,6.708398866587852,4.633127776210188,-11.060128055878927,39
GREEN_15m_t1,bull_trend,"[0.75,0.85)",3618,1329,36.733001658374796,4.4470946214219005,0.14209727902914082,75.62076749435666,4.097094621421901,-2.861170097731531,8.206726363307173,1.4533580811469005,3.5703170087472764,0.703585556358018,-52.06334351948028,623
GREEN_15m_t1,bull_trend,"[0.85,1.01)",17,0,0.0,,,,,,,,,,,0
LATEQUAL_PLUS_CONF2OF4,bear_trend,"[0.75,0.85)",762,2,0.26246719160104987,6.4513310274178615,6.4513310274178615,100.0,6.101331027417862,-0.15019525382998222,6.4513310274178615,1.880181892614996,6.101331027417862,57.39553246548409,0.0,2
LATEQUAL_PLUS_CONF2OF4,bear_trend,"[0.85,1.01)",134,0,0.0,,,,,,,,,,,0
LATEQUAL_PLUS_CONF2OF4,bull_trend,"[0.75,0.85)",3618,150,4.1459369817578775,3.4954325335182377,0.46113516428657464,75.33333333333333,3.1454325335182376,-2.739435603979101,6.731671086992846,1.4599585265713093,3.1974483665890334,2.695750126076153,-26.850290858208957,129
LATEQUAL_PLUS_CONF2OF4,bull_trend,"[0.85,1.01)",17,0,0.0,,,,,,,,,,,0
LATEQUAL_PLUS_DIST20H,bear_trend,"[0.75,0.85)",762,3,0.3937007874015748,6.748062858295818,6.984969053934553,100.0,6.398062858295819,-0.5852530670207671,6.855867946695992,1.801339758346443,6.39806285829582,61.30694649090691,0.0,3
LATEQUAL_PLUS_DIST20H,bear_trend,"[0.85,1.01)",134,0,0.0,,,,,,,,,,,0
LATEQUAL_PLUS_DIST20H,bull_trend,"[0.75,0.85)",3618,348,9.618573797678275,2.159933952334441,0.09680970365089081,87.93103448275862,1.809933952334441,-1.660541234375249,4.101076705581713,0.8431984260450262,1.8553305496731427,2.0202902922304946,-31.229956545355787,280
LATEQUAL_PLUS_DIST20H,bull_trend,"[0.85,1.01)",17,0,0.0,,,,,,,,,,,0
LATEQUAL_PLUS_DIST52WH,bear_trend,"[0.75,0.85)",762,0,0.0,,,,,,,,,,,0
