signal_date,symbol,regime,probability,status,days_held,prev_close,prev_high,prev_low,prev_open,t1_open,t1_orh_15min,t1_orl_15min,prev_high_20d,prev_high_252d,prev_avg_dvol20,prev_atr14,prev_range_pct,gap_pct,orb_break_15m_intraday_ts,orb_break_15m_held_eod,dist20h_break_intraday_ts,dist20h_break_held_eod,dist52wh_break_intraday_ts,dist52wh_break_held_eod,range_expand_15m,dvol_surge_30m,t1_first_30m_dvol,confluence_count_intraday,confluence_count_held_eod,ret_from_prev_close_pct,ret_from_t1_open_pct,mae_so_far_pct,mfe_so_far_pct,current_close,current_close_date
2026-05-27 00:00:00+05:30,LIQUIDCASE,bull_trend,0.7969811943443619,FRESH,0,114.26,114.27,114.25,114.27,,,,114.23999786376953,114.23999786376953,2094950188.8,0.031032257,0.017503938,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,GROWWLIQID,bull_trend,0.7759844068011561,FRESH,0,109.23,109.24,109.23,109.23,,,,109.20999908447266,110.9000015258789,70153249.15,0.083829135,0.009154994,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,LIQUIDADD,bull_trend,0.7495946441101384,FRESH,0,1128.41,1128.42,1128.4,1128.42,,,,1128.1300048828125,1151.219970703125,443426835.2,0.34784782,0.0017724055,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,GESHIP,bull_trend,0.7324562729412879,FRESH,0,1511.3,1650.0,1502.0,1650.0,,,,1798.0,1798.0,4199501404.8,82.54213,9.792893,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,CASHIETF,bull_trend,0.7274944454113501,FRESH,0,1063.9,1063.91,1063.89,1063.91,,,,1065.75,1065.75,264004292.0,0.6290795,0.0018798759,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,LIQUIDBETF,bull_trend,0.717243821308913,FRESH,0,1083.38,1083.39,1083.37,1083.37,,,,1083.3499755859375,1207.5,305084806.6,0.42389953,0.0018460744,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,ABINFRA,bear_trend,0.6987919787414668,FRESH,0,11.88,12.98,11.77,12.7,,,,16.309999465942383,23.559999465942383,12130491.7875,1.0143797,10.185185,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,NIITMTS,bear_trend,0.6893026668947553,FRESH,0,214.0,218.7,210.6,217.8,,,,328.3500061035156,443.8999938964844,104459565.7,15.693947,3.7850468,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,PTC,bull_trend,0.6792493497846435,FRESH,0,189.69,195.65,188.3,192.35,,,,229.50999450683594,229.50999450683594,487640531.6,8.014314,3.874743,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,RATNAVEER,bull_trend,0.6762165829730925,FRESH,0,170.06,178.13,169.05,176.35,,,,193.38999938964844,193.38999938964844,527856284.0,10.158915,5.339292,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,GKSL,bull_trend,0.6683951127658082,FRESH,0,135.98,141.9,134.95,140.8,,,,148.33999633789062,,143553225.85,6.281438,5.111046,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,LIQUIDPLUS,bull_trend,0.6666060199961691,FRESH,0,1087.23,1087.25,1087.23,1087.23,,,,1086.949951171875,1240.8800048828125,301805557.6,0.6430234,0.0018395372,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,RVNL,bear_trend,0.6649851616868164,FRESH,0,252.3,259.75,251.3,259.75,,,,311.45001220703125,442.79998779296875,1864615257.6,9.018597,3.3491874,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,LIQUID1,bull_trend,0.6640297604352903,FRESH,0,1106.24,1107.32,1105.93,1105.93,,,,1136.1800537109375,1136.1800537109375,916055944.0,2.6451793,0.12565085,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,STLTECH,bull_trend,0.6640297604352903,FRESH,0,510.9,510.9,510.9,510.9,,,,486.6000061035156,486.6000061035156,1381532026.5,21.270346,0.0,,,,,,,,,,,,,,,,,,
2026-05-27 00:00:00+05:30,HEMIPROP,bull_trend,0.6589465780235232,FRESH,0,142.78,145.5,142.34,142.5,,,,163.85000610351562,190.69000244140625,232524581.3,5.8814826,2.213195,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,SHADOWFAX,bull_trend,0.6577928217201785,FRESH,0,194.94,203.2,193.11,200.85,,,,211.77000427246094,,804092879.2,10.138999,5.1759515,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,VSTIND,bull_trend,0.6567481821127903,FRESH,0,258.15,259.85,257.8,258.0,,,,266.7300109863281,319.1000061035156,70948551.0,5.6818366,0.79411197,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,MOM100,bull_trend,0.6555944258094456,FRESH,0,67.34,67.45,66.85,67.29,,,,67.41000366210938,69.19999694824219,33069858.55,1.1971506,0.89100087,,,,,,,,False,False,,0.0,0.0,,,,,,
2026-05-27 00:00:00+05:30,JYOTHYLAB,bear_trend,0.6536976041916847,FRESH,0,208.6,209.65,205.1,206.5,,,,277.79998779296875,364.79998779296875,253084670.0,8.45863,2.1812081,,,,,,,,False,False,,0.0,0.0,,,,,,
